seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,1228800,1,1,391
42,medium,deepseekv4,tiny_shakespeare,1228800,1,2,938
42,medium,deepseekv4,tiny_shakespeare,1228800,1,3,510
42,medium,deepseekv4,tiny_shakespeare,1228800,1,4,642
42,medium,deepseekv4,tiny_shakespeare,1228800,1,5,279
42,medium,deepseekv4,tiny_shakespeare,1228800,1,6,540
42,medium,deepseekv4,tiny_shakespeare,1228800,1,7,414
42,medium,deepseekv4,tiny_shakespeare,1228800,2,0,532
42,medium,deepseekv4,tiny_shakespeare,1228800,2,1,476
42,medium,deepseekv4,tiny_shakespeare,1228800,2,2,476
42,medium,deepseekv4,tiny_shakespeare,1228800,2,3,498
42,medium,deepseekv4,tiny_shakespeare,1228800,2,4,527
42,medium,deepseekv4,tiny_shakespeare,1228800,2,5,497
42,medium,deepseekv4,tiny_shakespeare,1228800,2,6,571
42,medium,deepseekv4,tiny_shakespeare,1228800,2,7,519
42,medium,deepseekv4,tiny_shakespeare,1228800,3,0,449
42,medium,deepseekv4,tiny_shakespeare,1228800,3,1,505
42,medium,deepseekv4,tiny_shakespeare,1228800,3,2,494
42,medium,deepseekv4,tiny_shakespeare,1228800,3,3,563
42,medium,deepseekv4,tiny_shakespeare,1228800,3,4,455
42,medium,deepseekv4,tiny_shakespeare,1228800,3,5,495
42,medium,deepseekv4,tiny_shakespeare,1228800,3,6,562
42,medium,deepseekv4,tiny_shakespeare,1228800,3,7,573
42,medium,deepseekv4,tiny_shakespeare,1228800,4,0,526
42,medium,deepseekv4,tiny_shakespeare,1228800,4,1,515
42,medium,deepseekv4,tiny_shakespeare,1228800,4,2,487
42,medium,deepseekv4,tiny_shakespeare,1228800,4,3,457
42,medium,deepseekv4,tiny_shakespeare,1228800,4,4,554
42,medium,deepseekv4,tiny_shakespeare,1228800,4,5,408
42,medium,deepseekv4,tiny_shakespeare,1228800,4,6,479
42,medium,deepseekv4,tiny_shakespeare,1228800,4,7,670
42,medium,deepseekv4,tiny_shakespeare,1228800,5,0,521
42,medium,deepseekv4,tiny_shakespeare,1228800,5,1,495
42,medium,deepseekv4,tiny_shakespeare,1228800,5,2,485
42,medium,deepseekv4,tiny_shakespeare,1228800,5,3,518
42,medium,deepseekv4,tiny_shakespeare,1228800,5,4,505
42,medium,deepseekv4,tiny_shakespeare,1228800,5,5,467
42,medium,deepseekv4,tiny_shakespeare,1228800,5,6,578
42,medium,deepseekv4,tiny_shakespeare,1228800,5,7,527
42,medium,deepseekv4,tiny_shakespeare,1433600,0,0,399
42,medium,deepseekv4,tiny_shakespeare,1433600,0,1,248
42,medium,deepseekv4,tiny_shakespeare,1433600,0,2,382
42,medium,deepseekv4,tiny_shakespeare,1433600,0,3,899
42,medium,deepseekv4,tiny_shakespeare,1433600,0,4,395
42,medium,deepseekv4,tiny_shakespeare,1433600,0,5,669
42,medium,deepseekv4,tiny_shakespeare,1433600,0,6,271
42,medium,deepseekv4,tiny_shakespeare,1433600,0,7,833
42,medium,deepseekv4,tiny_shakespeare,1433600,1,0,384
42,medium,deepseekv4,tiny_shakespeare,1433600,1,1,408
42,medium,deepseekv4,tiny_shakespeare,1433600,1,2,937
42,medium,deepseekv4,tiny_shakespeare,1433600,1,3,491
42,medium,deepseekv4,tiny_shakespeare,1433600,1,4,652
42,medium,deepseekv4,tiny_shakespeare,1433600,1,5,284
42,medium,deepseekv4,tiny_shakespeare,1433600,1,6,516
42,medium,deepseekv4,tiny_shakespeare,1433600,1,7,424
42,medium,deepseekv4,tiny_shakespeare,1433600,2,0,530
42,medium,deepseekv4,tiny_shakespeare,1433600,2,1,516
