config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,deepseekv4_no_hash,tiny_shakespeare,validation,35840,3,3.384986639022827,0.005446035064387227,29.517890456755424,0.16100481484935322,4.883503437593633,0.007856967779898874
small,deepseekv4_no_hash,tiny_shakespeare,validation,40960,3,3.285891850789388,0.008433156883160542,26.733449940087763,0.22589213190456,4.740539878031309,0.012166473614374304
small,deepseekv4_no_hash,tiny_shakespeare,validation,46080,3,3.1992677052815757,0.010210166395367043,24.515425222053807,0.25101744514307894,4.615567652885943,0.014730156425247087
small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3,3.120529572168986,0.012212437242749055,22.659504795576158,0.2776860104148182,4.501972538715555,0.01761882264728196
small,deepseekv4_no_hash,wikitext2,validation,5120,3,5.309775670369466,0.0071356894329162555,202.30827864226592,1.4465251895722244,7.6603870278749,0.010294623758192336
small,deepseekv4_no_hash,wikitext2,validation,10240,3,4.8572187423706055,0.012118625170309849,128.67216446959955,1.564712576088,7.007485392131,0.017483480435598497
small,deepseekv4_no_hash,wikitext2,validation,15360,3,4.339576085408528,0.005608366050401189,76.67583327249712,0.43048935144591816,6.260684897979225,0.00809116188840391
small,deepseekv4_no_hash,wikitext2,validation,20480,3,3.915552775065104,0.0007511976321153056,50.176809769904395,0.037699784396627425,5.648948570925445,0.0010837490985802249
small,deepseekv4_no_hash,wikitext2,validation,25600,3,3.6188483238220215,0.003916840751406376,37.294782520340824,0.14609280827658358,5.220894530507368,0.00565080672800582
small,deepseekv4_no_hash,wikitext2,validation,30720,3,3.4228352705637612,0.0036457047726566358,30.656346325015672,0.11168485908670191,4.938107470622172,0.005259640196056629
small,deepseekv4_no_hash,wikitext2,validation,35840,3,3.285764455795288,0.0042013106735962966,26.729567202500167,0.11227351648994152,4.740356085905085,0.006061210074031486
small,deepseekv4_no_hash,wikitext2,validation,40960,3,3.1785263220469155,0.004381597887099697,24.011496253316448,0.10532456697902694,4.585644162152121,0.0063213095428880815
small,deepseekv4_no_hash,wikitext2,validation,46080,3,3.094052871068319,0.006596010281906206,22.066649158520068,0.14566222833655681,4.463774733338522,0.009516031323358844
small,deepseekv4_no_hash,wikitext2,validation,51200,3,3.02228053410848,0.00685607325786087,20.53839763657895,0.14063629469848607,4.360229138733551,0.009891222889087165
small,deepseekv4_no_shared,tiny_shakespeare,validation,5120,3,5.33234437306722,0.014563817998839192,206.93717184201185,3.0236800624512585,7.6929467833362475,0.021011148003334482
small,deepseekv4_no_shared,tiny_shakespeare,validation,10240,3,4.912623564402263,0.03443130075596497,136.04980341245815,4.724799343761349,7.087417654117407,0.04967386685198735
small,deepseekv4_no_shared,tiny_shakespeare,validation,15360,3,4.399097919464111,0.025042700096898362,81.39451848285297,2.052403489335653,6.34655675279583,0.036128979240265126
small,deepseekv4_no_shared,tiny_shakespeare,validation,20480,3,3.979456981023153,0.013914044313232564,53.49143985128895,0.7464199913432253,5.741142851953069,0.020073722729409934
small,deepseekv4_no_shared,tiny_shakespeare,validation,25600,3,3.699254115422567,0.009039984950585393,40.418245746654456,0.36446459519404256,5.336895567308226,0.013041941457920392
small,deepseekv4_no_shared,tiny_shakespeare,validation,30720,3,3.5207576751708984,0.00737979117990628,33.81064947014861,0.24945371022350712,5.079379638140812,0.010646788138046663
small,deepseekv4_no_shared,tiny_shakespeare,validation,35840,3,3.4007851282755532,0.0063559032002779734,29.988039240200663,0.1909417315571068,4.906295839692078,0.009169630027411524
small,deepseekv4_no_shared,tiny_shakespeare,validation,40960,3,3.3115269343058267,0.010748485358765355,27.428029917727127,0.2952218295906902,4.777523485893249,0.015506786524158373
small,deepseekv4_no_shared,tiny_shakespeare,validation,46080,3,3.2320287227630615,0.014026860364646595,25.332657534859337,0.35588960616080245,4.662831810340959,0.02023648188731749
small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3,3.15535298983256,0.014320611825393265,23.462921868061574,0.3362426806592949,4.552212110685598,0.020660275662990876
