seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,20480,3.958010673522949,52.35307493070921,5.710202370477145
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,25600,3.6816165447235107,39.71053607195409,5.3114499315273696
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,30720,3.5034916400909424,33.231281297884934,5.054470014955144
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,35840,3.3815860748291016,29.417392316648616,4.87859746049512
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,40960,3.279400110244751,26.559834947018764,4.731174276140822
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,46080,3.19254994392395,24.35044060251301,4.6058759718894215
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1140832901000977,22.512783199981765,4.492672519542598
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,5120,5.348751544952393,210.3455269371119,7.716617328849998
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,10240,4.951876163482666,141.44007985610352,7.144047184152709
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,15360,4.427914619445801,83.75657033974142,6.388130462954199
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,20480,3.9950056076049805,54.32614526252148,5.763574778415306
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,25600,3.705349922180176,40.66427415905879,5.345689957487647
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,30720,3.5210795402526855,33.82091980768359,5.079843991298141
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,35840,3.396677255630493,29.86470223089594,4.900369432198446
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,40960,3.3018858432769775,27.163817350568916,4.763614331677169
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,46080,3.219205141067505,25.008234260745912,4.644331292622345
44,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.141552448272705,23.139762272597167,4.532302137815614
42,small,native,wikitext2,validation,5120,5.24550724029541,189.7120204091603,7.567667282521341
42,small,native,wikitext2,validation,10240,4.65682315826416,105.30102553477535,6.718375676724585
42,small,native,wikitext2,validation,15360,4.185739517211914,65.74210035922376,6.038745643934592
42,small,native,wikitext2,validation,20480,3.828141450881958,45.97700824986283,5.522840687008882
42,small,native,wikitext2,validation,25600,3.5750012397766113,35.694665069039345,5.157636559797614
42,small,native,wikitext2,validation,30720,3.4124534130096436,30.339588564757793,4.923129616213631
42,small,native,wikitext2,validation,35840,3.31177020072937,27.433645573476813,4.777874445156109
42,small,native,wikitext2,validation,40960,3.2449135780334473,25.659492420607524,4.681420727142117
