seed,config,model,dataset,tokens_trained,layer,expert,count
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,1,277
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,2,265
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,3,217
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,0,384
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,1,146
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,2,231
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,1,3,263
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,0,274
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,1,256
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,2,281
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,0,3,213
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,0,352
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,1,183
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,2,312
43,small,deepseekv4_no_hash,tiny_shakespeare,15360,1,3,177
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,0,263
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,1,271
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,2,287
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,0,3,203
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,0,294
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,1,212
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,2,317
43,small,deepseekv4_no_hash,tiny_shakespeare,20480,1,3,201
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,0,243
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,1,264
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,2,299
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,0,3,218
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,0,275
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,1,292
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,2,251
43,small,deepseekv4_no_hash,tiny_shakespeare,25600,1,3,206
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,0,227
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,1,222
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,2,292
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,0,3,283
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,0,273
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,1,242
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,2,239
43,small,deepseekv4_no_hash,tiny_shakespeare,30720,1,3,270
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,0,259
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,1,190
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,2,295
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,0,3,280
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,0,281
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,1,308
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,2,221
43,small,deepseekv4_no_hash,tiny_shakespeare,35840,1,3,214
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,0,247
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,1,242
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,2,303
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,0,3,232
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,0,261
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,1,279
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,2,245
43,small,deepseekv4_no_hash,tiny_shakespeare,40960,1,3,239
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,0,233
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,1,216
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,2,273
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,0,3,302
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,0,260
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,1,281
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,2,260
43,small,deepseekv4_no_hash,tiny_shakespeare,46080,1,3,223
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,0,234
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,1,229
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,2,280
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,0,3,281
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,0,261
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,1,291
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,2,179
43,small,deepseekv4_no_hash,tiny_shakespeare,51200,1,3,293
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,0,248
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,1,254
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,2,217
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,0,3,305
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,0,227
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,1,220
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,2,407
43,small,deepseekv4_no_shared,tiny_shakespeare,5120,1,3,170
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,0,268
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,1,247
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,2,202
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,0,3,307
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,0,205
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,1,230
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,2,418
43,small,deepseekv4_no_shared,tiny_shakespeare,10240,1,3,171
43,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,0,257
43,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,1,248
43,small,deepseekv4_no_shared,tiny_shakespeare,15360,0,2,195
